generated_at,window_start,horizon,prediction,threat_probability,trend,potential_stage,forecast_mode,probability_BENIGN,probability_DoS GoldenEye,probability_DoS Hulk,probability_DoS Slowhttptest,probability_DoS slowloris,probability_Heartbleed
2026-09-06T04:50:05,2026-09-06T04:50:00,1,BENIGN,0.0828918580074679,STABLE,,momentum,0.9171081419925321,0.0007352619656448788,0.004753068585392134,0.06263709495821945,0.014766432498211446,0.0
2026-09-06T04:50:05,2026-09-06T04:51:00,2,BENIGN,0.0828918580074679,STABLE,,momentum,0.9171081419925321,0.0007352619656448788,0.004753068585392134,0.06263709495821945,0.014766432498211446,0.0
2026-09-06T04:50:05,2026-09-06T04:52:00,3,BENIGN,0.0828918580074679,STABLE,,momentum,0.9171081419925321,0.0007352619656448788,0.004753068585392134,0.06263709495821945,0.014766432498211446,0.0
2026-09-06T04:50:05,2026-09-06T04:53:00,4,BENIGN,0.0828918580074679,STABLE,,momentum,0.9171081419925321,0.0007352619656448788,0.004753068585392134,0.06263709495821945,0.014766432498211446,0.0
2026-09-06T04:50:05,2026-09-06T04:54:00,5,BENIGN,0.0828918580074679,STABLE,,momentum,0.9171081419925321,0.0007352619656448788,0.004753068585392134,0.06263709495821945,0.014766432498211446,0.0
2026-09-06T04:51:49,2026-09-06T04:51:00,1,BENIGN,0.07403489582131484,STABLE,,momentum,0.9259651041786852,4.220283193245669e-05,0.002781105435631354,0.042164191099306476,0.029047396454444575,0.0
2026-09-06T04:51:49,2026-09-06T04:52:00,2,BENIGN,0.07504028622178882,STABLE,,momentum,0.9249597137782112,4.2209159639748674e-05,0.0030226725681092577,0.04467326617044262,0.027302138323597146,0.0
2026-09-06T04:51:49,2026-09-06T04:53:00,3,BENIGN,0.07563183318546507,STABLE,,momentum,0.9243681668145349,4.2212882706961014e-05,0.003164804722617511,0.04614954418072264,0.02627527139941787,0.0
2026-09-06T04:51:49,2026-09-06T04:54:00,4,BENIGN,0.07602144549496748,STABLE,,momentum,0.9239785545050325,4.221533484162505e-05,0.0032584176398885337,0.04712186949108969,0.025598943029147777,0.0
2026-09-06T04:51:49,2026-09-06T04:55:00,5,BENIGN,0.07629744826885398,STABLE,,momentum,0.923702551731146,4.221707194271941e-05,0.0033247333701881855,0.04781066826935172,0.025119829557371392,0.0
2026-09-06T05:00:26,2026-09-06T05:01:00,1,BENIGN,0.043526558725503595,STABLE,,momentum,0.9564734412744964,0.0,0.00625,0.006152243032920245,0.031124315692583348,0.0
