generated_at,window_start,horizon,prediction,threat_probability,probability_BENIGN,probability_DoS GoldenEye,probability_DoS Hulk,probability_DoS Slowhttptest,probability_DoS slowloris,probability_Heartbleed
2026-09-06T04:10:00,2026-09-06T04:10:00,1,BENIGN,0.1143151089336284,0.8856848910663716,0.0012714844872890939,0.0066043906694084565,0.08628918343997546,0.020150050336955473,0.0
2026-09-06T04:10:00,2026-09-06T04:11:00,2,BENIGN,0.1143151089336284,0.8856848910663716,0.0012714844872890939,0.0066043906694084565,0.08628918343997546,0.020150050336955473,0.0
2026-09-06T04:10:00,2026-09-06T04:12:00,3,BENIGN,0.1143151089336284,0.8856848910663716,0.0012714844872890939,0.0066043906694084565,0.08628918343997546,0.020150050336955473,0.0
2026-09-06T04:10:00,2026-09-06T04:13:00,4,BENIGN,0.1143151089336284,0.8856848910663716,0.0012714844872890939,0.0066043906694084565,0.08628918343997546,0.020150050336955473,0.0
2026-09-06T04:10:00,2026-09-06T04:14:00,5,BENIGN,0.1143151089336284,0.8856848910663716,0.0012714844872890939,0.0066043906694084565,0.08628918343997546,0.020150050336955473,0.0
2026-09-06T04:11:00,2026-09-06T04:11:00,1,BENIGN,0.058269675790510234,0.9417303242094898,6.34436251837433e-05,0.0006016860373255264,0.025986965272815344,0.03161758085518576,0.0
2026-09-06T04:11:00,2026-09-06T04:12:00,2,BENIGN,0.06429444024658293,0.9357055597534171,6.351554494353004e-05,0.0006023681092460095,0.03338574567427473,0.030242810918118892,0.0
2026-09-06T04:11:00,2026-09-06T04:13:00,3,BENIGN,0.06819816773977483,0.9318018322602252,6.353383322277431e-05,0.000981623785990049,0.03773150175555873,0.02942150836500326,0.0
2026-09-06T04:11:00,2026-09-06T04:14:00,4,BENIGN,0.07084555132514525,0.9291544486748547,6.354072563766666e-05,0.0013125482977197264,0.04059141373550899,0.028878048566278985,0.0
2026-09-06T04:11:00,2026-09-06T04:15:00,5,BENIGN,0.07272112892246607,0.9272788710775339,6.354560866974217e-05,0.001546996605110593,0.04261756018045385,0.02849302652823193,0.0
2026-09-06T04:12:00,2026-09-06T04:12:00,1,BENIGN,0.08990806171201315,0.9100919382879868,3.178711218222735e-05,0.0034038844995346092,0.06565999371157108,0.02081239638872529,0.0
2026-09-06T04:12:00,2026-09-06T04:13:00,2,BENIGN,0.08903887770329355,0.9109611222967064,3.178711218222735e-05,0.003331888542123242,0.06416947858988381,0.021505723459104308,0.0
2026-09-06T04:12:00,2026-09-06T04:14:00,3,BENIGN,0.08852759299228197,0.911472407007718,3.1787112182227353e-05,0.003289537978940085,0.06329270498889132,0.021913562912268442,0.0
2026-09-06T04:12:00,2026-09-06T04:15:00,4,BENIGN,0.08819089330454288,0.9118091066954571,3.178711218222734e-05,0.003261648583673127,0.06271531749555476,0.022182140113132617,0.0
2026-09-06T04:12:00,2026-09-06T04:16:00,5,BENIGN,0.08795239769239394,0.9120476023076061,3.1787112182227353e-05,0.0032418935953590334,0.06230633468777473,0.02237238229707809,0.0
2026-09-06T04:12:37,2026-09-06T04:13:00,1,BENIGN,0.09711361911797445,0.9028863808820256,1.907226730933641e-05,0.0024329562616876824,0.07125372368316563,0.023407866905811744,0.0
2026-09-06T04:12:37,2026-09-06T04:14:00,2,BENIGN,0.09576611293970849,0.9042338870602915,1.9072267309336405e-05,0.002516128206033968,0.0698169759314406,0.023413936534924414,0.0
2026-09-06T04:12:37,2026-09-06T04:15:00,3,BENIGN,0.09497346224661063,0.9050265377533894,1.9072267309336412e-05,0.0025650528791788425,0.06897183019513177,0.023417506904990698,0.0
2026-09-06T04:12:37,2026-09-06T04:16:00,4,BENIGN,0.09445147276579013,0.9055485272342099,1.9072267309336412e-05,0.0025972715663718083,0.06841527080780645,0.02341985812430264,0.0
2026-09-06T04:12:37,2026-09-06T04:17:00,5,BENIGN,0.09408173021687571,0.9059182697831243,1.907226730933641e-05,0.0026200931364668252,0.06802104124178432,0.02342152357131526,0.0
